"name","value"
"LOGIN","0x0001"
"SET_UDP_IP_PORT","0x0002"
"EXIT","0x0003"
"SELECT_CHARACTER","0x0004"
"CREATE_CHARACTER","0x0005"
"DELETE_CHARACTER","0x0006"
"RETURN_SELECT_CHARACTER","0x0007"
"GET_USERINFO","0x0008"
"RECOVER_STAMINA","0x0009"
"REQUEST_PEER","0x000A"
"RESPONSE_PEER","0x000B"
"SET_PARTY_INFO","0x000C"
"LEAVE_PARTY","0x000D"
"WALKOUT_PARTY_MEMBER","0x000E"
"ENTER_SELECT_DUNGEON","0x000F"
"SELECT_DUNGEON","0x0010"
"SEND_MESSAGE","0x0011"
"DELETE_ITEM","0x0012"
"MOVE_ITEMSPACE","0x0013"
"SORT_ITEM","0x0014"
"BUY_ITEM","0x0015"
"SELL_ITEM","0x0016"
"REPAIR_EQUIPMENT","0x0017"
"SET_ITEMTRADE_STATE","0x0018"
"COMPOUND_ITEM","0x0019"
"DISJOINT_ITEM","0x001A"
"USE_LOTTERY_ITEM","0x001B"
"CHANGE_SKILLSLOT","0x001C"
"BUY_SKILL","0x001D"
"INCREASE_STATUS","0x001E"
"ACCEPT_QUEST","0x001F"
"GIVEUP_QUEST","0x0020"
"SET_QUEST_TRIGGER","0x0021"
"FINISH_QUEST","0x0022"
"SET_USER_POSITION","0x0023"
"SET_USER_AREA","0x0024"
"FINISH_LOADING","0x0025"
"USE_SKILL","0x0026"
"DIE_MONSTER","0x0027"
"DIE_CHARACTER","0x0028"
"USE_COIN","0x0029"
"GIVEUP_GAME","0x002A"
"GET_ITEM","0x002B"
"USE_STACKABLE","0x002C"
"MOVE_MAP","0x002D"
"SET_PLAY_RESULT","0x002E"
"DROP_ITEM","0x002F"
"DECREASE_DURABILITY","0x0030"
"REPORT_BAD_P2P_USER","0x0031"
"MAKE_PVP_ROOM","0x0032"
"ENTER_PVP_ROOM","0x0033"
"SET_PVP_SEAT_STATE","0x0034"
"SET_PVP_READY_STATE","0x0035"
"SET_PVP_TEAM_MODE","0x0036"
"DIE_PVP_CHARACTER","0x0037"
"PVP_TIME_OUT","0x0038"
"END_PVP_RESULT","0x0039"
