"name","value"
"CHANNELINFO","0x0001"
"USERINFO","0x0002"
"USER_STATE","0x0003"
"STAMINA","0x0004"
"DUNGEON_PERMISSION","0x0005"
"USER_LEAVE","0x0006"
"REQUEST_PEER","0x0007"
"RESPONSE_PEER","0x0008"
"PARTY_INFO","0x0009"
"WALKOUT","0x000A"
"USER_UDP_IP_PORT","0x000B"
"MESSAGE","0x000C"
"ITEM_LIST","0x000D"
"UPDATE_ITEM_LIST","0x000E"
"CHANGE_ITEMTRADE_ITEM","0x000F"
"CANCEL_ITEMTRADE","0x0010"
"STATE_ITEMTRADE","0x0011"
"FINISH_ITEMTRADE","0x0012"
"SKILLINFO","0x0013"
"CHANGE_BONUSSP","0x0014"
"ACCEPTABLE_QUEST_LIST","0x0015"
"USER_POSITION","0x0016"
"USER_AREA","0x0017"
"AREA_USERS","0x0018"
"FISHING","0x0019"
"UDP_HOST","0x001A"
"ENTER_SELECT_DUNGEON","0x001B"
"DUNGEON_INFO","0x001C"
"START_MAP","0x001D"
"FINISH_LOADING","0x001E"
"ENABLE_CLEAR_DUNGEON","0x001F"
"DIE_STATE","0x0020"
"FAIL_CLEAR_DUNGEON","0x0021"
"PLAY_RESULT","0x0022"
"CLEAR_DUNGEON_REWARD","0x0023"
"FATIGUE","0x0024"
"EXP","0x0025"
"DIE_MONSTER","0x0026"
"GET_ITEM","0x0027"
"DROP_ITEM","0x0028"
"PVP_ROOM_INFO","0x0029"
"PVP_ROOM_STATE","0x002A"
"PVP_SEAT_STATE","0x002B"
"PVP_READY_STATE","0x002C"
"START_PVP","0x002D"
"DIE_PVP_CHARACTER","0x002E"
"END_PVP","0x002F"
"PVP_RECORD","0x0030"
"REQ_PVP_RANK","0x0031"
"KEY_COUNT","0x0032"
"MONEY_FULL","0x0033"
"FRIEND_INFO","0x0034"
"CERA","0x0035"
"BUDDY_IN","0x0036"
"BUDDY_OUT","0x0037"
"BUDDY_CONN_LIST","0x0038"
"PVPEXP_OF_WEEK","0x0039"
"GUILD_ENTER","0x003A"
"GUILD_SECEDE","0x003B"
"GUILD_MARK_CHANGE","0x003C"
"GUILD_DISMISS","0x003D"
"GUILD_CHAT_MSG","0x003E"
"GUILD_CHAR_NAMES","0x003F"
